property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,rental,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
6,2,1,1,1,1,4,1,20,1,0,8,93.0,37.74873,-122.41545,5850.0,14,0,0,1,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,12,50,1,25,290,97.0,37.74873,-122.41545,5850.0,32,0,0,1,0,1,0,0,0,0,0,0,1,0,1
12,2,1,1,1,1,4,1,50,1,0,127,99.0,37.74873,-122.41545,5850.0,45,0,1,0,1,1,1,1,1,0,0,1,0,1,1
12,2,3,2,1,2,4,1,60,2,40,278,98.0,37.74873,-122.41545,5850.0,49,0,1,0,1,1,1,1,1,0,0,1,0,1,1
12,2,3,2,1,2,4,1,60,2,40,180,98.0,37.74873,-122.41545,5850.0,47,0,1,0,1,1,1,1,1,0,0,1,0,1,1
1,0,4,1,1,1,4,12,120,2,15,150,94.0,37.74873,-122.41545,5850.0,28,0,0,1,1,1,1,1,0,0,0,0,1,1,1
8,0,2,1,1,1,4,1,80,1,15,21,99.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,2,1,1,1,4,12,100,1,0,24,98.0,37.74873,-122.41545,5850.0,18,0,0,0,1,0,1,1,0,0,0,1,1,1,1
12,2,4,1,1,1,4,12,50,2,20,39,90.0,37.74873,-122.41545,5850.0,16,0,0,1,0,1,1,0,0,0,0,1,1,0,1
12,0,3,1,1,1,4,12,150,2,50,28,99.0,37.74873,-122.41545,5850.0,24,0,0,0,1,0,1,1,0,0,0,1,1,1,1
8,0,5,1,1,2,4,12,75,2,35,344,99.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,1,0,1,0,0,1,1,1,1
1,0,3,1,1,2,4,12,90,2,25,101,97.0,37.74873,-122.41545,5850.0,44,0,1,0,1,1,1,1,1,0,0,1,1,1,1
8,0,2,1,1,1,4,1,150,2,0,223,98.0,37.74873,-122.41545,5850.0,40,0,0,0,1,1,1,1,1,0,0,1,1,1,1
12,2,1,1,1,1,4,12,60,1,50,47,97.0,37.74873,-122.41545,5850.0,50,1,0,0,1,1,1,1,1,0,0,0,1,1,1
12,0,3,1,1,2,4,1,150,1,15,29,99.0,37.74873,-122.41545,5850.0,23,0,0,0,1,1,1,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,0,1,0,4,100.0,37.74873,-122.41545,5850.0,41,1,0,1,1,1,1,1,0,0,0,1,1,1,1
6,2,1,1,1,1,4,12,70,1,0,114,100.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,2,1,1,1,1,4,12,360,1,100,31,96.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,0,0,0,1,0,1,1
6,0,2,2,1,1,4,12,100,2,25,57,99.0,37.74873,-122.41545,5850.0,19,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,4,1,45,1,0,106,94.0,37.74873,-122.41545,5850.0,38,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,3,1,2,1,1,4,12,0,1,0,255,96.0,37.74873,-122.41545,5850.0,36,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,0,1,0,177,96.0,37.74873,-122.41545,5850.0,27,1,0,1,1,1,1,1,0,0,0,1,0,1,1
12,3,1,2,1,1,4,12,0,1,0,256,97.0,37.74873,-122.41545,5850.0,31,0,0,1,1,1,1,1,1,0,0,1,0,1,1
10,3,1,2,1,1,4,12,0,1,0,163,93.0,37.74873,-122.41545,5850.0,26,0,0,1,1,1,1,1,0,0,0,1,0,1,1
12,2,3,1,1,2,4,12,60,2,40,124,95.0,37.74873,-122.41545,5850.0,20,0,0,1,1,0,0,1,0,0,0,0,1,1,1
12,2,2,1,1,1,2,1,49,2,15,132,98.0,37.74873,-122.41545,5850.0,26,0,0,0,0,1,1,1,1,0,0,0,0,0,1
12,2,2,1,1,1,4,12,45,1,0,77,98.0,37.74873,-122.41545,5850.0,17,0,0,0,1,1,1,1,0,0,0,0,1,1,1
12,0,2,1,1,1,4,12,100,1,0,15,99.0,37.74873,-122.41545,5850.0,34,0,0,0,1,1,1,1,1,0,0,1,1,1,1
17,2,2,1,1,1,4,1,30,1,25,173,94.0,37.74873,-122.41545,5850.0,31,0,1,0,1,1,1,1,0,0,0,0,1,1,1
8,2,3,1,1,2,4,1,50,1,0,6,83.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,0,1,0,0,0,0,1,1,1
12,0,2,1,1,1,4,1,80,1,0,77,97.0,37.74873,-122.41545,5850.0,25,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,0,2,1,1,1,4,12,50,1,0,13,97.0,37.74873,-122.41545,5850.0,26,0,1,1,1,1,1,1,0,0,0,1,1,1,1
1,2,2,1,1,1,4,12,50,1,0,149,99.0,37.74873,-122.41545,5850.0,59,0,0,1,1,1,0,1,1,0,0,0,1,1,1
1,2,4,1,1,4,4,12,59,1,35,109,96.0,37.74873,-122.41545,5850.0,16,0,0,0,0,1,1,1,0,0,0,0,0,0,1
13,2,2,1,1,2,4,12,59,1,25,117,94.0,37.74873,-122.41545,5850.0,20,0,0,0,0,1,1,1,0,0,0,1,1,0,1
12,2,2,1,1,1,4,1,55,3,0,67,97.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,1,1,0,0,0,0,0,0,1
1,2,2,1,1,1,4,12,75,1,0,2,100.0,37.74873,-122.41545,5850.0,6,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,1,40,2,0,179,100.0,37.74873,-122.41545,5850.0,29,0,0,1,0,1,1,0,0,0,0,0,1,0,1
12,2,1,1,1,1,4,12,25,1,25,253,100.0,37.74873,-122.41545,5850.0,41,0,0,0,1,1,1,1,1,0,0,1,0,1,1
17,2,2,1,1,1,4,12,55,1,30,122,99.0,37.74873,-122.41545,5850.0,48,0,0,0,1,1,1,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,50,1,25,49,94.0,37.74873,-122.41545,5850.0,37,0,0,0,1,1,1,1,1,0,0,1,0,1,1
12,2,2,1,1,1,4,1,0,1,20,133,97.0,37.74873,-122.41545,5850.0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,1
12,0,3,1,1,2,4,1,80,3,50,50,97.0,37.74873,-122.41545,5850.0,18,0,0,0,0,1,1,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,12,85,2,0,96,98.0,37.74873,-122.41545,5850.0,22,0,1,0,0,1,0,0,0,0,0,1,0,0,1
6,0,4,1,1,4,4,12,80,1,0,50,96.0,37.74873,-122.41545,5850.0,26,0,1,0,1,1,0,1,0,0,0,1,1,1,1
6,2,1,1,1,1,4,14,35,1,0,62,100.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,4,1,1,1,4,12,50,2,20,160,98.0,37.74873,-122.41545,5850.0,71,0,0,0,1,1,1,1,1,1,0,1,1,1,1
12,0,2,1,1,1,4,1,80,2,10,98,96.0,37.74873,-122.41545,5850.0,40,0,0,0,0,1,1,0,1,0,0,1,1,0,1
12,0,3,2,1,1,4,1,150,2,25,6,93.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,4,1,1,3,4,1,250,2,0,2,100.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,1,0,0,0,1,1,1
12,2,3,1,1,1,4,1,125,2,25,5,100.0,37.74873,-122.41545,5850.0,10,0,0,1,0,1,0,0,0,0,0,0,1,0,1
12,0,2,1,1,1,4,12,200,1,0,12,96.0,37.74873,-122.41545,5850.0,24,0,0,0,1,1,1,1,0,0,0,1,1,1,1
1,0,2,1,1,1,4,12,95,2,25,38,99.0,37.74873,-122.41545,5850.0,29,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,2,2,1,1,2,4,1,70,2,5,128,98.0,37.74873,-122.41545,5850.0,33,0,0,0,1,1,1,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,12,80,2,35,123,100.0,37.74873,-122.41545,5850.0,38,0,1,1,1,1,1,1,0,0,0,1,1,1,1
12,2,2,2,1,1,4,12,70,1,0,266,98.0,37.74873,-122.41545,5850.0,55,1,1,0,1,1,0,1,1,0,0,1,1,1,1
8,2,2,1,1,1,4,1,90,2,0,116,94.0,37.74873,-122.41545,5850.0,47,0,0,0,0,1,0,1,1,0,0,1,0,0,1
12,2,3,1,1,2,4,12,60,2,40,121,95.0,37.74873,-122.41545,5850.0,25,0,0,1,1,1,1,1,0,0,0,0,0,1,1
12,2,2,1,1,1,4,1,50,1,25,39,97.0,37.74873,-122.41545,5850.0,36,0,0,0,1,1,1,1,1,0,0,1,0,1,1
